bin_index,bin_from,bin_to,interpolation
1,0.0,0.0,0.0
2,0.001,0.001,0.001
3,0.002,0.002,0.002
4,0.003,0.003,0.003
5,0.004,0.004,0.004
6,0.005,0.005,0.005
7,0.006,0.006,0.006
8,0.007,0.007,0.007
9,0.008,0.008,0.008
10,0.009,0.009,0.009
11,0.01,0.01,0.01
12,0.011,0.011,0.011
13,0.012,0.012,0.012
14,0.013,0.013,0.013
15,0.014,0.014,0.014
16,0.015,0.015,0.015
17,0.016,0.016,0.016
18,0.017,0.017,0.017
19,0.018,0.018,0.018
20,0.019,0.019,0.019
21,0.02,0.02,0.02
22,0.021,0.021,0.021
23,0.022,0.022,0.022
24,0.023,0.023,0.023
25,0.024,0.024,0.024
26,0.025,0.025,0.025
27,0.026,0.026,0.026
28,0.027,0.027,0.027
29,0.028,0.028,0.028
30,0.029,0.029,0.029
31,0.03,0.03,0.03
32,0.031,0.031,0.031
33,0.032,0.032,0.032
34,0.033,0.033,0.033
35,0.034,0.034,0.034
36,0.035,0.035,0.035
37,0.036,0.036,0.036
38,0.037,0.037,0.037
39,0.038,0.038,0.038
40,0.039,0.039,0.039
41,0.04,0.04,0.04
42,0.041,0.041,0.041
43,0.042,0.042,0.042
44,0.043,0.043,0.043
45,0.044,0.044,0.044
46,0.045,0.045,0.045
47,0.046,0.046,0.046
48,0.047,0.047,0.047
49,0.048,0.048,0.048
50,0.049,0.049,0.049
51,0.05,0.05,0.05
52,0.051,0.051,0.051
53,0.052,0.052,0.052
54,0.053,0.053,0.053
55,0.054,0.054,0.054
56,0.055,0.055,0.055
57,0.056,0.056,0.056
58,0.057,0.057,0.057
59,0.058,0.058,0.058
60,0.059,0.059,0.059
61,0.06,0.06,0.06
62,0.061,0.061,0.061
63,0.062,0.062,0.062
64,0.063,0.063,0.063
65,0.064,0.064,0.064
66,0.065,0.065,0.065
67,0.066,0.066,0.066
68,0.067,0.067,0.067
69,0.068,0.068,0.068
70,0.069,0.069,0.069
71,0.07,0.07,0.07
72,0.071,0.071,0.071
73,0.072,0.072,0.072
74,0.073,0.073,0.073
75,0.074,0.074,0.074
76,0.075,0.075,0.075
77,0.076,0.076,0.076
78,0.077,0.077,0.077
79,0.078,0.078,0.078
80,0.079,0.079,0.079
81,0.08,0.08,0.08
82,0.081,0.081,0.081
83,0.082,0.082,0.082
84,0.083,0.083,0.083
85,0.084,0.084,0.084
86,0.085,0.085,0.085
87,0.086,0.086,0.086
88,0.087,0.087,0.087
89,0.088,0.088,0.088
90,0.089,0.089,0.089
91,0.09,0.09,0.09
92,0.091,0.091,0.091
93,0.092,0.092,0.092
94,0.093,0.093,0.093
95,0.094,0.094,0.094
96,0.095,0.095,0.095
97,0.096,0.096,0.096
98,0.097,0.097,0.097
99,0.098,0.098,0.098
100,0.099,0.099,0.099
101,0.1,0.1,0.1
102,0.101,0.101,0.101
103,0.102,0.102,0.102
104,0.103,0.103,0.103
105,0.104,0.104,0.104
106,0.105,0.105,0.105
107,0.106,0.106,0.106
108,0.107,0.107,0.107
109,0.108,0.108,0.108
110,0.109,0.109,0.109
111,0.11,0.11,0.11
112,0.111,0.111,0.111
113,0.112,0.112,0.112
114,0.113,0.113,0.113
115,0.114,0.114,0.114
116,0.115,0.115,0.115
117,0.116,0.116,0.116
118,0.117,0.117,0.117
119,0.118,0.118,0.118
120,0.119,0.119,0.119
121,0.12,0.12,0.12
122,0.121,0.121,0.121
123,0.122,0.122,0.122
124,0.123,0.123,0.123
125,0.124,0.124,0.124
126,0.125,0.125,0.125
127,0.126,0.126,0.126
128,0.127,0.127,0.127
129,0.128,0.128,0.128
130,0.129,0.129,0.129
131,0.13,0.13,0.13
132,0.131,0.131,0.131
133,0.132,0.132,0.132
134,0.133,0.133,0.133
135,0.134,0.134,0.134
136,0.135,0.135,0.135
137,0.136,0.136,0.136
138,0.137,0.137,0.137
139,0.138,0.138,0.138
140,0.139,0.139,0.139
141,0.14,0.14,0.14
142,0.141,0.141,0.141
143,0.142,0.142,0.142
144,0.143,0.143,0.143
145,0.144,0.144,0.144
146,0.145,0.145,0.145
